Option Name,Address
[Avalon Clinton](https://www.apartments.com/avalon-clinton-new-york-ny/w6y2gnj/),"[515 W 52nd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/515+W+52nd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[Avalon Midtown West](https://www.apartments.com/avalon-midtown-west-new-york-ny/mwctttj/),"[250 W 50th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/250+W+50th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)"
[Silver Towers](https://www.apartments.com/silver-towers-new-york-ny/6vlzv9r/),"[620 W 42nd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/620+W+42nd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)"
[The Anthem](https://www.apartments.com/the-anthem-new-york-ny/x3120np/),"[222 E 34th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/222+E+34th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)"
[Dorchester Towers](https://www.apartments.com/dorchester-towers-new-york-ny/yyers8v/),"[2001-2017 Broadway, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2001-2017+Broadway,+New+York,+NY+10023/data=!4m2!4m1!3e2)"
[Normandie Court](https://www.apartments.com/normandie-court-new-york-ny/6z0przr/),"[225 E 95th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/225+E+95th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)"
[Stuyvesant Town](https://www.apartments.com/stuyvesant-town-new-york-ny/gvb2n6w/),"[409 E 14th St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/409+E+14th+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)"
[Peter Cooper Village](https://www.apartments.com/peter-cooper-village-new-york-ny/fmnst8r/),"[360 1st Ave, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/360+1st+Ave,+New+York,+NY+10010/data=!4m2!4m1!3e2)"
[180 Water St](https://www.apartments.com/180-water-st-new-york-ny/htl8ej0/),"[180 Water St, New York, NY 10038](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/180+Water+St,+New+York,+NY+10038/data=!4m2!4m1!3e2)"
[EOS](https://www.apartments.com/eos-new-york-ny/zls36xz/),"[100 W 31st St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/100+W+31st+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)"
