Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
Avalon Clinton,844-469-5490,"515 W 52nd St, New York, NY 10019",585 Sq Ft,"$2,804 - 5,933",,,"Dogs Allowed:
Breed restrictions do apply, see office for full list. 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views",12 and 24 month lease terms,"* Package Service
* Laundry Facilities
* Doorman
* Concierge
* On-Site Retail
* Dry Cleaning Service
* Laundry Service","* Built in 2007
* 627 Units/24 Stories","* Elevator
* Clubhouse",* Balcony,[],
Avalon Midtown West,844-475-5142,"250 W 50th St, New York, NY 10019",682 Sq Ft,"$3,372 - 6,135",,,"Dogs and Cats Allowed:
Some breeds and pets restricted 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines
* Pool
* Gameroom","* Dishwasher
* Microwave
* Range
* Refrigerator","* Affordable Housing Program
* Bright Kitchens with Modern Appliance Package
* Coming Soon - Expanded Fitness Center
* Coming Soon - Refreshed Resident Lounge
* Coming Soon - Terrace w/ bbq grills
* Coming Soon - Two new fitness studios
* Complimentary Package Acceptance Service
* Expansive Sundeck with Lounge Chairs
* Internet Lounge with Laptop Tables & WiFi
* Laundry Facility w/Card-based System
* On-site Parking
* Premier Location by Times Square & Restaurant Row!
* Restaurant and Food Emporium Located On-site
* Spacious Closets with Shelving
* Spectacular Manhattan & Hudson River Views!
* Walk to Columbus Circle and Rockefeller Center!","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Cable Ready
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Vaulted Ceiling
* Views
* Walk-In Closets
* Furnished
* Window Coverings",12 or 24 month,"* Package Service
* Laundry Facilities
* Property Manager on Site
* Doorman
* Bilingual
* Concierge
* Furnished Units Available
* On-Site Retail
* Laundry Service
* Public Transportation","* Built in 1998
* 550 Units/40 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Breakfast/Coffee Concierge","* Sundeck
* Courtyard
* Grill
* Picnic Area
* Balcony
* Barbecue Area
* Barbecue/Grill",[],
Silver Towers,844-239-2411,"620 W 42nd St, New York, NY 10036",642 Sq Ft,"$2,840 - 7,150",,,"Dogs Allowed
Pets Allowed 
* $300 Deposit
* 45 lb Weight Limit
* 2 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Sauna
* Spa
* Pool
* Playground
* Racquetball Court
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Kitchen
* Microwave
* Refrigerator","* Balcony
* Concierge Services
* Elevator
* Fitness Center
* Gameroom
* Greystone Flooring
* Heat/Hot Water Included
* High Ceilings
* Home Office
* Loft
* Media/Movie Theatre
* On-Site Retail
* Parking
* Pet Friendly
* Playground
* Private Drive
* Private Outdoor Space
* Renovated
* Rooftop Lounge
* Shuttle Bus
* Sky Collection
* Storage Units
* Swimming Pool
* Washer/Dryer","* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views
* Walk-In Closets",12 Months,"* Property Manager on Site
* Doorman
* Concierge
* 24 Hour Availability
* Shuttle to Train
* On-Site Retail
* Maid Service
* Online Services","* Built in 2009
* 1276 Units/59 Stories","* Elevator
* Lounge","* Cabana
* Courtyard
* Grill
* Balcony",[],
The Anthem,844-393-1027,"222 E 34th St, New York, NY 10016",,"$3,050 - 5,200",,,"Cats Allowed:
2 Cats 
* 2 Pet Limit",,,"Other
Assigned Parking. Valet Parking","* Fitness Center
* Sauna
* Gameroom","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Refrigerator","* 10' Ceilings
* Alcove
* Built-In Sound System
* Corner Unit
* No-Fee","* Washer/Dryer
* Air Conditioning
* Heating
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vaulted Ceiling
* Views
* Walk-In Closets",,"* Package Service
* Laundry Facilities
* Doorman
* Dry Cleaning Service
* Maid Service
* Meal Service","* Built in 2003
* 480 Units/24 Stories","* Elevator
* Business Center
* Lounge
* Multi Use Room
* Breakfast/Coffee Concierge
* Conference Room",,[],
Dorchester Towers,844-847-8879,"2001-2017 Broadway, New York, NY 10023",,"$3,225",,,"Dogs Allowed:
certain breeds Pets Allowed 
* 2 Pet Limit",,,"Garage: $450
Assigned Parking. access to building","* Fitness Center
* Cardio Machines
* Free Weights
* Weight Machines","* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator","* Bamboo Floors
* Bike Storage
* Black Granite Countertops/Floors in Kitchen
* Business Center
* Dishwasher
* Doorman
* Elevator
* Fitness Center
* Full Marble Bathroom
* Full Marble Bathrooms
* Full Marble Bathroon
* Garage
* Granite Countertops
* Hardwood Floors
* Laundry on Every Floor
* Laundry On Floor
* Marble Bathroom
* Microwave
* Package Room
* Plank Flooring
* Private Outdoor Space
* Renovated
* Roof Top Garden
* Rooftop Garden
* Stainless Steel Appliances
* Storage
* Valet On-Site
* White Appliances
* White Kitchen Cabinets
* White Shaker Style Cabinets","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom","* Hardwood Floors
* Walk-In Closets
* Linen Closet",12 - 24 Month Leases,"* Package Service
* Laundry Facilities
* Maintenance on site
* Property Manager on Site
* Doorman
* Concierge
* On-Site Retail
* Dry Cleaning Service","* Built in 1965
* 683 Units/35 Stories","* Elevator
* Storage Space
* Disposal Chutes
* Conference Room","* Rooftop Lounge
* Balcony
* Garden",[],
Normandie Court,844-883-2415,"225 E 95th St, New York, NY 10128",,"$2,861 - 4,375",,,"Dogs and Cats Allowed
Pets Allowed 
* 2 Pet Limit",,,Street,,"* Dishwasher
* Microwave","* Bamboo Floors
* Black Granite Countertops
* Black Granite Countertops/Floors in Kitchen
* Dishwasher
* Doorman
* Elevator
* Full Full Marble Bathroom
* Full Marble Bathroom
* Full Marble Bathrooms
* Garage
* Granite Countertops
* Gray Quartz Countertops
* Gray Quartz Vanity Counter Top
* Grey Quartz Counter Tops
* Hardwood Floors
* Health Club With Pool
* Laundry In Building
* Lounge With Wifi And 2 Sundecks
* Marble Bathroom
* Marble Bathrooms
* Microwave
* Outdoor Areas
* Plank Bamboo Flooring
* Plank Flooring
* Porcelain Tile in Bathroom
* Quartz Countertops
* Renovated
* Stainless Steel Appliances
* Updated Bathroom Finishes
* Valet On-Site
* White Appliances
* White Kitchen Cabinets
* White Pantry Cabinets
* White Shaker Style Cabinets",,* Hardwood Floors,12 - 13 Month Leases,"* Laundry Facilities
* Doorman","* Built in 1985
* 1477 Units/34 Stories",* Elevator,,[],
Stuyvesant Town,646-952-7549,"409 E 14th St, New York, NY 10009",708 - 771 Sq Ft,"$3,100 - 8,488",,,"Dogs Allowed:
Aggressive breeds are NOT allowed. Aggressive breeds include: Pit Bull, Doberman Pinscher, Rottweiler, German Shepherd, or any breed the Management determines, in its sole discretion, to be aggressive. Any dog that is a mixed breed which includes an aggressive breed is not allowed. There is a weight limit of 50 pounds for each dog, unless there are two dogs. If there are two dogs in the apartment, their combined adult weight may not exceed 50 pounds. This restriction will be strictly enforced. Only two dogs shall be allowed ... 
* 45 lb Weight Limit
* 2 Pet Limit",,,Garage,"* Fitness Center
* Fitness Programs
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines
* Playground
* Bike Storage
* Basketball Court
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Trash Compactor
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Family Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* Property Manager on Site
* Security System
* Bilingual
* Concierge
* Courtesy Patrol
* Video Patrol
* On-Site Retail
* Trash Pickup - Curbside
* Recycling
* Dry Cleaning Service
* House Sitter Services
* Laundry Service
* Maid Service
* Online Services
* Composting
* Energy Star Certified
* Planned Social Activities
* Pet Care
* Parking Security","* Built in 1947
* Renovated in Jan 2006
* 11250 Units/14 Stories
* Energy Star Rated","* Elevator
* Business Center
* Storage Space
* Disposal Chutes
* Library","* Fenced Lot
* Courtyard
* Picnic Area
* Lawn
* Garden",[],
Peter Cooper Village,646-868-5584,"360 1st Ave, New York, NY 10010",898 - 944 Sq Ft,"$3,260 - 12,000",,,"Dogs Allowed:
Aggressive breeds are NOT allowed. Aggressive breeds include: Pit Bull, Doberman Pinscher, Rottweiler, German Shepherd, or any breed the Management determines, in its sole discretion, to be aggressive. Any dog that is a mixed breed which includes an aggressive breed is not allowed. There is a weight limit of 50 pounds for each dog, unless there are two dogs. If there are two dogs in the apartment, their combined adult weight may not exceed 50 pounds. This restriction will be strictly enforced. Only two dogs shall be allowed ... 
* 45 lb Weight Limit
* 2 Pet Limit",,,Garage,"* Fitness Center
* Fitness Programs
* Health Club Facility
* Cardio Machines
* Free Weights
* Weight Machines
* Playground
* Bike Storage
* Basketball Court
* Sport Court
* Walking/Biking Trails
* Gameroom
* Media Center/Movie Theatre","* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook
* Instant Hot Water",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Alarm
* Trash Compactor
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* Property Manager on Site
* Security System
* Concierge
* Courtesy Patrol
* Video Patrol
* 24 Hour Availability
* On-Site Retail
* Trash Pickup - Curbside
* Recycling
* Dry Cleaning Service
* House Sitter Services
* Laundry Service
* Maid Service
* Online Services
* Composting
* Energy Star Certified
* Planned Social Activities
* Local Vet / Pet Store Discount
* Pet Care
* Parking Security","* Built in 1947
* Renovated in Jan 2006
* 11250 Units/14 Stories
* Energy Star Rated","* Elevator
* Business Center
* Multi Use Room
* Storage Space
* Disposal Chutes
* Library","* Fenced Lot
* Courtyard
* Picnic Area
* Deck
* Lawn",[],
180 Water St,646-679-1477,"180 Water St, New York, NY 10038",699 Sq Ft,"$2,741 - 5,775",,,Pets Negotiable,,,,"* Fitness Center
* Pool
* Gameroom","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen
* Microwave
* Oven
* Refrigerator
* Freezer","* Can Be Furnished
* Renovated
* Walk in Closet","* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Double Vanities
* Tub/Shower
* Intercom
* Sprinkler System
* Wheelchair Accessible (Rooms)",* Hardwood Floors,12 - 24 Month Leases,"* Package Service
* Wi-Fi at Pool and Clubhouse
* Laundry Facilities
* Controlled Access
* Property Manager on Site
* Doorman
* Concierge
* Dry Cleaning Service
* Laundry Service
* Planned Social Activities","* Built in 1971
* 571 Units/29 Stories",* Elevator,"* Rooftop Lounge
* Deck
* Barbecue Area
* Barbecue/Grill",[],
EOS,844-283-4121,"100 W 31st St, New York, NY 10001",674 Sq Ft,"$3,688 - 6,750",,,"Dogs Allowed
Pets Allowed 
* $500 Fee
* 45 lb Weight Limit
* 2 Pet Limit",,,,"* Fitness Center
* Fitness Programs
* Health Club Facility
* Cardio Machines
* Free Weights
* Pool
* Gameroom","* Dishwasher
* Kitchen
* Microwave
* Refrigerator","* Air Conditioning
* Dining Room with Catering Pantry
* Dishwasher
* Doorman
* Elevator
* Fitness Center with High-Performance Equipment
* Full-Time Doorman and Concierge
* Game Room
* Golf Simulator
* Gym
* Half-Court Basketball
* Hardwood Floors
* High Ceilings
* Indoor Pool
* Large Living Room
* Laundry in Unit
* Library with Fireplace
* Linen Closet
* Locker Rooms
* Media Room
* Microwave
* On-Site Resident Manager
* Pass-Through Kitchen
* Spin Studio
* Stainless Steel Appliances
* Stunning River Views
* Walk-In Closet
* Yoga Studio","* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Smoke Free",* Hardwood Floors,12 - 26 Month Leases,"* Property Manager on Site
* Doorman
* On-Site ATM
* Recycling
* Dry Cleaning Service
* Maid Service
* Composting
* Energy Star Certified","* Built in 2016
* 375 Units/46 Stories","* Elevator
* Lounge
* Multi Use Room
* Library","* Rooftop Lounge
* Sundeck",[],
