school_name,type,location,Postcode,Latitude,Longitude,score
Tottenville High School,high,"100 Luten Avenue, Staten Island NY 10312 (40.528152, -74.193431)",10312,40.52815,-74.1934,0.86 
Long Island City High School,high,"14-30 Broadway, Astoria NY 11106 (40.765881, -73.933907)",11106,40.76588,-73.9339,0.65 
William Cullen Bryant High School,high,"48-10 31st Avenue, Astoria NY 11103 (40.757072, -73.911165)",11103,40.75707,-73.9112,0.68 
Frank Sinatra School of the Arts High School,high,"35-12 35th Avenue, Astoria NY 11106 (40.756099, -73.925182)",11106,40.7561,-73.9252,0.97 
Francis Lewis High School,high,"58-20 Utopia Parkway, Fresh Meadows NY 11365 (40.740875, -73.795049)",11365,40.74088,-73.795,0.88 
World Journalism Preparatory: A College Board School,high,"34-65 192nd Street, Flushing NY 11358 (40.764884, -73.789365)",11358,40.76488,-73.7894,0.97 
High School for Law Enforcement and Public Safety,high,"116-25 Guy R Brewer Boulevard, Jamaica NY 11434 (40.685838, -73.783438)",11434,40.68584,-73.7834,0.74 
High School of Telecommunication Arts and Technology,high,"350 67th Street, Brooklyn NY 11220 (40.636721, -74.023419)",11220,40.63672,-74.0234,0.88 
Fort Hamilton High School,high,"8301 Shore Road, Brooklyn NY 11209 (40.626827, -74.038103)",11209,40.62683,-74.0381,0.74 
Bayside High School,high,"32-24 Corporal Kennedy Street, Bayside NY 11361 (40.771398, -73.781041)",11361,40.7714,-73.781,0.92 
Nelson Mandela High School,high,"1700 Fulton Street, Brooklyn NY 11213 (40.678478, -73.931604)",11213,40.67848,-73.9316,
Bedford Academy High School,high,"1119 Bedford Avenue, Brooklyn NY 11216 (40.685486, -73.953692)",11216,40.68549,-73.9537,0.96 
Boys and Girls High School,high,"1700 Fulton Street, Brooklyn NY 11213 (40.678478, -73.931604)",11213,40.67848,-73.9316,0.50 
Frederick Douglass Academy IV Secondary School,high,"125 Stuyvesant Avenue, ??rooklyn, NY 11221 (40.6921, -73.9317)",11221,40.6921,-73.9317,0.71 
The Brooklyn Academy of Global Finance,high,"125 Stuyvesant Avenue, Brooklyn NY 11221 (40.691467, -73.932254)",11221,40.69147,-73.9323,0.62 
Brooklyn High School for Law and Technology,high,"1396 Broadway, Brooklyn NY 11221 (40.688399, -73.920603)",11221,40.6884,-73.9206,0.73 
Gotham Professional Arts Academy,high,"265 Ralph Avenue, Brooklyn NY 11233 (40.680239, -73.921099)",11233,40.68024,-73.9211,0.57 
Martin Van Buren High School,high,"230-17 Hillside Avenue, Queens Village NY 11427 (40.733888, -73.739726)",11427,40.73389,-73.7397,0.55 
"Queens High School of Teaching, Liberal Arts and the Sciences",high,"74-20 Commonwealth Blvd, Bellerose NY 11426 (40.744197, -73.728834)",11426,40.7442,-73.7288,0.90 
Business Technology Early College High School (BTECH),high,"230-17 Hillside Avenue, Queens Village NY 11427 (40.733888, -73.739726)",11427,40.73389,-73.7397,
West Bronx Academy for the Future,high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.82 
Crotona International High School,high,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",10458,40.85539,-73.8825,0.45 
High School for Energy and Technology,high,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",10458,40.85539,-73.8825,
Fordham Leadership Academy for Business and Technology,high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.49 
Belmont Preparatory High School,high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.61 
Knowledge and Power Preparatory Academy International High School (KAPPA),high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.79 
Fordham High School for the Arts,high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.91 
Bronx High School for Law and Community Service,high,"500 East Fordham Road, Bronx NY 10458 (40.859466, -73.888625)",10458,40.85947,-73.8886,0.73 
Bronx Academy for Software Engineering (BASE),high,"2474 Crotona Avenue, Bronx NY 10458 (40.855392, -73.882487)",10458,40.85539,-73.8825,
Brooklyn Studio Secondary School,high,"8310 21St Avenue, Brooklyn NY 11214 (40.60498, -73.995084)",11214,40.60498,-73.9951,0.75 
New Utrecht High School,high,"1601 80th Street, Brooklyn NY 11214 (40.613041, -74.002308)",11214,40.61304,-74.0023,0.74 
Spring Creek Community School,high,"1065 Elton Street, Brooklyn NY 11208 (0, 0)",11208,,,
Franklin Delano Roosevelt High School,high,"5800 20th Avenue, Brooklyn NY 11204 (40.621299, -73.982583)",11204,40.6213,-73.9826,0.63 
Urban Assembly School for Criminal Justice,high,"4200 16th Avenue, Brooklyn NY 11204 (40.6351, -73.982424)",11204,40.6351,-73.9824,0.90 
Channel View School for Research,high,"100-00 Beach Channel Drive, Rockaway Park NY 11694 (40.586012, -73.825317)",11694,40.58601,-73.8253,0.85 
Rockaway Park High School for Environmental Sustainability,high,"100-00 Beach Channel Drive, Rockaway Park NY 11694 (40.586012, -73.825317)",11694,40.58601,-73.8253,0.54 
Rockaway Collegiate High School,high,"100-00 Beach Channel Drive, Rockaway Park NY 11694 (40.586012, -73.825317)",11694,40.58601,-73.8253,0.52 
Scholars' Academy,high,"320 Beach 104th Street, Rockaway Park NY 11694 (40.584543, -73.825162)",11694,40.58454,-73.8252,0.99 
Thomas A. Edison Career and Technical Education High School,high,"165-65 84th Avenue, Jamaica NY 11432 (40.716071, -73.799692)",11432,40.71607,-73.7997,0.89 
Hillcrest High School,high,"160-05 Highland Avenue, Jamaica NY 11432 (40.709461, -73.803001)",11432,40.70946,-73.803,0.76 
Hillside Arts & Letters Academy,high,"167-01 Gothic Drive, Jamaica NY 11432 (40.714551, -73.798658)",11432,40.71455,-73.7987,0.81 
"Young Women's Leadership School, Queens (TYWLS)",high,"150-91 87 Road, Jamaica NY 11432 (40.708409, -73.804166)",11432,40.70841,-73.8042,0.88 
