printedschoolname,type,address,Postcode,Latitude,Longitude,score
Tompkins Square Middle School,middle,"600 East 6th Street, Manhattan NY 10009",10009,40.72438,-73.98138,0.28
Urban Assembly Academy for Future Leaders,middle,"509 West 129th Street, Manhattan NY 10027",10027,40.815256,-73.955325,0.34
Brooklyn School of Inquiry,middle,"50 Avenue P, Brooklyn NY 11204",11204,40.60731,-73.986595,0.38
Dr. Richard R. Green School (P.S./M.S. 183),middle,"2-45 Beach 79th Street, Queens NY 11693",11693,40.589508,-73.805361,0.45
University Neighborhood Middle School,middle,"220 Henry Street, Manhattan NY 10002",10002,40.713684,-73.986336,0.56
Ronald Edmonds Learning Center II,middle,"430 Howard Avenue, Brooklyn NY 11233",11233,40.673073,-73.919594,0.66
The Shirley Tanyhill School (P.S./I.S. 288),middle,"2950 West 25th Street, Brooklyn NY 11224",11224,40.574411,-73.99194,0.72
The William Lloyd Garrison (P.S./M.S. 31),middle,"250 East 156th Street, Bronx NY 10451",10451,40.82316,-73.921631,0.73
New Design Middle School,middle,"625 West 133rd Street, Manhattan NY 10027",10027,40.819572,-73.957823,0.74
School of Performing Arts,middle,"977 Fox Street, Bronx NY 10459",10459,40.822443,-73.893902,0.75
Mahalia Jackson (P.S./M.S. 123),middle,"301 West 140th Street, Manhattan NY 10030",10030,40.819767,-73.944433,0.76
The Clara Cardwell Elementary and Middle School (P.S./M. S. 308),middle,"616 Quincy Street, Brooklyn NY 11221",11221,40.688695,-73.935499,0.76
The Island School (P.S. 188),middle,"442 East Houston Street, New York NY 10002",10002,40.719598,-73.977904,0.78
Jose de Diego Magnet School of Visual Arts and Sciences (P.S./M.S. 84),middle,"250 Berry Street, Brooklyn NY 11211",11249,40.714785,-73.963,0.78
Urban Assembly School for Wildlife Conservation,middle,"2024 Mohegan Avenue, Bronx NY 10460",10460,40.843945,-73.884788,0.78
Dr. Gladstone H. Atwell Middle School (M.S. 61),middle,"400 Empire Boulevard, Brooklyn NY 11225",11225,40.664007,-73.94922,0.78
Ronald Edmonds Learning Center (M.S. 113),middle,"300 Adelphi Street, Brooklyn NY 11205",11205,40.688811,-73.971009,0.79
The Eagle Academy for Young Men of Staten Island,middle,"101 Warren Street, Staten Island NY 10304",10304,40.620347,-74.081643,0.79
The Mary McLeod Bethune Middle School (M.S. 394),middle,"188 Rochester Avenue, Brooklyn NY 11213",11213,40.672762,-73.927973,0.79
Emolior Academy,middle,"1970 West Farms Road, Bronx NY 10460",10460,40.839565,-73.880358,0.8
Stephen Decatur Middle School 35,middle,"272 Macdonough Street, Brooklyn NY 11233",11233,40.681896,-73.935963,0.8
Ron Brown Academy (M.S. 57),middle,"125 Stuyvesant Avenue, Brooklyn NY 11221",11221,40.691274,-73.933697,0.8
Franklin Delano Roosevelt (P.S. 34),middle,"730 East 12th Street, Manhattan NY 10009",10009,40.726473,-73.975181,0.81
Entrada Academy,middle,"977 Fox Street, Bronx NY 10459",10459,40.822443,-73.893902,0.81
New Heights Middle School,middle,"790 East New York Avenue, Brooklyn NY 11203",11203,40.662447,-73.936382,0.81
Amistad Dual Language School,middle,"4862 Broadway, Manhattan NY 10034",10034,40.866706,-73.923948,0.82
Dr. Susan S. McKinney Secondary School of the Arts,middle,"101 Park Avenue, Brooklyn NY 11205",11205,40.696324,-73.97578,0.82
Park Place Community (M.S. 266),middle,"31 New York Avenue, Brooklyn NY 11216",11216,40.679097,-73.94684,0.82
Juan Morel Campos Secondary School,middle,"215 Heyward Street, Brooklyn NY 11206",11206,40.703624,-73.953146,0.82
John D. Wells (M.S. 50),middle,"183 South 3rd Street, Brooklyn NY 11211",11211,40.711704,-73.960275,0.82
Eleanor Roosevelt Intermediate School (I.S. 143),middle,"511 West 182nd Street, Manhattan NY 10033",10033,40.848908,-73.930948,0.83
Community Math & Science Prep,middle,"401 West 164th Street, Manhattan NY 10032",10032,40.836536,-73.937159,0.83
South Bronx Academy for Applied Media,middle,"778 Forest Avenue, Bronx NY 10456",10456,40.818874,-73.905927,0.83
Lyons Community School,middle,"223 Graham Avenue, Brooklyn NY 11206",11206,40.709941,-73.943641,0.83
East Bronx Academy for the Future,middle,"1716 Southern Boulevard, Bronx NY 10460",10460,40.836356,-73.888361,0.83
Academy for College Preparation and Career Exploration: A College Board School,middle,"911 Flatbush Avenue, Brooklyn NY 11226",11226,40.649787,-73.95855,0.83
Medgar Evers College Preparatory School,middle,"1186 Carroll Street, Brooklyn NY 11225",11225,40.667195,-73.951167,0.83
Knowledge and Power Preparatory Academy IV,middle,"6 Edgecombe Avenue, Manhattan NY 10030",10030,40.817372,-73.947712,0.84
Community Health Academy of The Heights,middle,"504 West 158th Street, Manhattan NY 10032",10032,40.833687,-73.942072,0.85
P.S./M.S. 43,middle,"160 Beach 29th Street, Queens NY 11691",11691,40.593834,-73.76174,0.86
Frederick Douglass Academy V,middle,"2111 Crotona Avenue, Bronx NY 10457",10457,40.848472,-73.888561,0.86
P.S. 181,middle,"1023 New York Avenue, Brooklyn NY 11203",11203,40.648215,-73.946374,0.86
Park Terrace (P.S. 18),middle,"4124 9th Avenue, Manhattan NY 10034",10034,40.871278,-73.911516,0.87
The Urban Assembly Bronx Academy of Letters,middle,"339 Morris Avenue, Bronx NY 10451",10451,40.813641,-73.925313,0.87
R. Vernam (P.S./M.S. 42),middle,"488 Beach 66th Street, Queens NY 11692",11692,40.594538,-73.795304,0.87
The Arthur Tappan School (P.S./M.S. 46),middle,"2987 Frederick Douglass Boulevard, Manhattan NY 10039",,,,0.87
Herman Ridder (J.H.S. 98),middle,"1619 Boston Road, Bronx NY 10460",10460,40.8359,-73.890458,0.87
P.S./M.S. X211,middle,"1919 Prospect Avenue, Bronx NY 10457",10457,40.843546,-73.889755,0.87
Mott Hall V,middle,"1551 East 172nd Street, Bronx NY 10472",10472,40.831416,-73.877785,0.87
Walt Whitman (I.S. 246),middle,"72 Veronica Place, Brooklyn NY 11226",11226,40.648608,-73.952821,0.87
Paula Hedbavny School (P.S./M.S. 278),middle,"421 West 219th Street, Manhattan NY 10034",10034,40.871245,-73.912141,0.88
Port Morris (P.S./M.S. 5),middle,"564 Jackson Avenue, Bronx NY 10455",10455,40.813728,-73.908886,0.88
Fort Greene Preparatory Academy,middle,"100 Clermont Avenue, Brooklyn NY 11205",11205,40.694633,-73.971165,0.88
P.S./M.S 212,middle,"1180 Tinton Avenue, Bronx NY 10456",10456,40.828419,-73.900721,0.88
Lou Gehrig Academy (J.H.S. 151),middle,"250 East 156th Street, Bronx NY 10451",10451,40.82316,-73.921631,0.89
Science School for Exploration and Discovery (M.S. 224),middle,"345 Brook Avenue, Bronx NY 10454",10454,40.81004,-73.917792,0.89
Virgil I. Grissom (J.H.S. 226),middle,"121-10 Rockaway Boulevard, Queens NY 11420",11420,40.675771,-73.816938,0.89
"Technology, Arts and Sciences Studios",middle,"185 1st Avenue, Manhattan NY 10003",10003,40.729636,-73.983818,0.89
The Benjamin Franklin Magnet School for Civic Leadership in Health and Science (P.S./I.S. 157),middle,"850 Kent Avenue, Brooklyn NY 11205",11205,40.695417,-73.959571,0.89
The Walter Crowley Intermediate School (I.S. 5),middle,"50-40 Jacobus Street, Queens NY 11373",11373,40.737718,-73.887429,0.89
Leonardo da Vinci (I.S. 61),middle,"98-50 50th Avenue, Queens NY 11368",11368,40.742668,-73.863307,0.89
Pedro Albizu Campos (P.S./M.S. 161),middle,"499 West 133rd Street, Manhattan NY 10027",10027,40.81755,-73.953041,0.89
The School of Integrated Learning,middle,"1224 Park Place, Brooklyn NY 11213",11213,40.672713,-73.936924,0.89
Hamilton Grange Middle School,middle,"500 West 138th Street, Manhattan NY 10031",10031,40.820953,-73.951145,0.9
Maria Teresa Mirabal (M.S. 319),middle,"21 Jumel Place, Manhattan NY 10032",10032,40.839305,-73.936159,0.9
Bea Fuller Rodgers School (I.S. 528),middle,"180 Wadsworth Avenue, Manhattan NY 10033",10033,40.85051,-73.934485,0.9
South Bronx Preparatory: A College Board School,middle,"360 East 145th Street, Bronx NY 10454",10454,40.813983,-73.920782,0.9
Montauk (J.H.S. 223),middle,"4200 16th Avenue, Brooklyn NY 11204",11204,40.634875,-73.981528,0.9
I.S. 77,middle,"976 Seneca Avenue, Queens NY 11385",11385,40.699516,-73.90214,0.9
Berta A. Dreyfus (I.S. 49),middle,"101 Warren Street, Staten Island NY 10304",10304,40.620347,-74.081643,0.9
Frederick Douglass Academy,middle,"2581 7th Avenue, Manhattan NY 10039",10039,40.824319,-73.93712,0.9
"The School of Mathematics, Science and Technology through the Arts (I.S. 318)",middle,"1919 Prospect Avenue, Bronx NY 10457",10457,40.843546,-73.889755,0.9
"The Math, Science & Technology Institute (M.S. 267)",middle,"800 Gates Avenue, Brooklyn NY 11221",11221,40.68832,-73.932275,0.9
Parkside Preparatory Academy,middle,"655 Parkside Avenue, Brooklyn NY 11226",11226,40.656183,-73.951583,0.9
Washington Heights Expeditionary Learning School,middle,"511 West 182nd Street, Manhattan NY 10033",10033,40.848908,-73.930948,0.91
Urban Assembly School for Criminal Justice,middle,"4200 16th Avenue, Brooklyn NY 11204",11204,40.634875,-73.981528,0.91
The Dock Street School,middle,"19 Dock Street, Brooklyn NY 11201",11201,40.703106,-73.992549,0.91
Corona Arts and Sciences Academy (CASA),middle,"98-11 44th Avenue, Queens NY 11368",11368,40.745709,-73.865329,0.91
William A. Morris (I.S. 61),middle,"445 Castleton Avenue, Staten Island NY 10301",10301,40.634009,-74.097826,0.91
ESMT - I.S. 190,middle,"1550 Crotona Park East, Bronx NY 10460",10460,40.836575,-73.892817,0.91
Thurgood Marshall Academy for Learning and Social Change,middle,"200-214 West 135th Street, Manhattan NY 10030",10030,40.815509,-73.944202,0.91
Fannie Lou Hamer Middle School,middle,"1001 Jennings Street, Bronx NY 10460",10460,40.831165,-73.887094,0.91
Satellite East Middle School,middle,"344 Monroe Street, Brooklyn NY 11216",11216,40.686076,-73.945229,0.92
Edwin Markham (I.S. 51),middle,"20 Houston Street, Staten Island NY 10302",10302,40.622596,-74.14497,0.92
Eagle Academy for Young Men of Harlem,middle,"6 Edgecombe Avenue, Manhattan NY 10030",10030,40.817372,-73.947712,0.92
P.S. 214,middle,"1970 West Farms Road, Bronx NY 10460",10460,40.839565,-73.880358,0.92
Madiba Prep Middle School,middle,"1014 Lafayette Avenue, Brooklyn NY 11221",11221,40.692126,-73.931731,0.92
The Twenty-First Century Academy for Community Leadership (P.S./I.S. 210),middle,"501-503 West 152nd Street, Manhattan NY 10031",10031,40.829832,-73.944789,0.93
The Renaissance Leadership Academy (M.S. 322),middle,"4600 Broadway, Manhattan NY 10040",10040,40.86079,-73.930672,0.93
The Melrose School (P.S./M.S. 29),middle,"758 Courtlandt Avenue, Bronx NY 10451",10451,40.821515,-73.917279,0.93
The Margaret Mead School (P.S. 209),middle,"2609 East 7th Street, Brooklyn NY 11235",11235,40.586845,-73.96198,0.93
Brian Piccolo (I.S. 53),middle,"10-45 Nameoke Street, Queens NY 11691",11691,40.603622,-73.749097,0.93
Waterside School For Leadership,middle,"190 Beach 110th Street, Rockaway Park NY 11694",11694,40.580928,-73.831836,0.93
School For Global Leaders,middle,"145 Stanton Street, Manhattan NY 10002",10002,40.720581,-73.985645,0.93
Ridgewood I.S. 93,middle,"66-56 Forest Avenue, Queens NY 11385",11385,40.706041,-73.902584,0.93
Robert F. Kennedy Community Middle School (I.S. 250),middle,"158-40 76th Road, Queens NY 11366",11366,40.724458,-73.810216,0.93
Patria Mirabal Middle School (M.S. 324),middle,"21 Jumel Place, Manhattan NY 10032",10032,40.839305,-73.936159,0.94
Hostos-Lincoln Academy of Science,middle,"600 Saint Ann's Avenue, Bronx NY 10455",10455,40.815498,-73.91224,0.94
Seth Low (I.S. 96),middle,"99 Avenue P, Brooklyn NY 11204",11204,40.60754,-73.984661,0.94
Academy of Medical Technology,middle,"8-21 Bay 25th Street, Queens NY 11691",11691,40.60201,-73.762795,0.94
The Bay School (P.S./M.S. 105),middle,"420 Beach 51st Street, Queens NY 11691",11691,40.595779,-73.781876,0.94
