locationname,type,final_address,Postcode,Latitude,Longitude
P.S. 15 Roberto Clemente,prek,"333 East 4th Street, Manhattan NY 10009",10009,40.721807,-73.979022
P.S. 19 Asher Levy,prek,"185 First Avenue, Manhattan NY 10003",10003,40.729636,-73.983818
P.S. 20 Anna Silver,prek,"166 Essex Street, Manhattan NY 10002",10002,40.72154,-73.986648
P.S. 34 Franklin D. Roosevelt,prek,"730 East 12th Street, Manhattan NY 10009",10009,40.726473,-73.975181
The STAR Academy - P.S. 63,prek,"121 East 3rd Street, Manhattan NY 10009",10009,40.724117,-73.986381
P.S. 64 Robert Simon,prek,"600 East 6th Street, Manhattan NY 10009",10009,40.72438,-73.98138
P.S. 110 Florence Nightingale,prek,"285 Delancy Street, Manhattan NY 10002",10002,40.715915,-73.979893
P.S. 134 Henrietta Szold,prek,"293 East Broadway, Manhattan NY 10002",10002,40.71457,-73.983724
P.S. 140 Nathan Straus,prek,"123 Ridge Street, Manhattan NY 10002",10002,40.71925,-73.983056
P.S. 5 Ellen Lurie,prek,"3703 Tenth Avenue, Manhattan NY 10034",10034,40.85899,-73.922894
P.S. 142 Amalia Castro,prek,"100 Attorney Street, Manhattan NY 10002",10002,40.718383,-73.984452
P.S. 184 Shuang Wen,prek,"327 Cherry Street, Manhattan NY 10002",10002,40.711549,-73.986542
P.S. 188 The Island School,prek,"442 East Houston Street, Manhattan NY 10002",10002,40.719598,-73.977904
The East Village Community School,prek,"610 East 12th Street, Manhattan NY 10009",10009,40.727892,-73.978525
The Children's Workshop School,prek,"610 East 12th Street, Manhattan NY 10009",10009,40.727892,-73.978525
Neighborhood School,prek,"121 East 3rd Street, Manhattan NY 10009",10009,40.724117,-73.986381
Earth School,prek,"600 East 6th Street, Manhattan NY 10009",10009,40.72438,-73.98138
Immaculate Conception School,prek,"419 East 13th Street, Manhattan NY 10009",10009,40.730402,-73.982447
Saint Brigid School,prek,"185 East 7th Street, Manhattan NY 10009",10009,40.724849,-73.980659
Gramercy School,prek,"460 West 34th Street, Manhattan NY 10001",10001,40.754329,-73.998578
Educational Alliance - Lillian Wald,prek,"34 Avenue D, Manhattan NY 10009",10009,40.721351,-73.977723
Virginia Day Nursery,prek,"464 East 10th Street, Manhattan NY 10009",10009,40.724601,-73.97454
Hamilton Madison House EarlyLearn Center 5,prek,"253 South Street, Manhattan NY 10002",10002,40.710001,-73.990553
Bank Street Head Start,prek,"535 East 5th Street, Manhattan NY 10009",10009,40.724484,-73.983487
Dewitt Reformed Church Head Start,prek,"280 Rivington Street, Manhattan NY 10002",10002,40.717468,-73.979726
Escuela Hispana Montessori 2,prek,"180 Suffolk Street, Manhattan NY 10002",10002,40.721067,-73.98501
Grand St Settlement Head Start Center,prek,"294 Delancey Street, Manhattan NY 10002",10002,40.715824,-73.979547
University Settlement ECC,prek,"184 Eldridge Street, Manhattan NY 10002",10002,40.720653,-73.990674
Grand St Settlement,prek,"300 Delancey Street, Manhattan NY 10002",10002,40.715758,-73.979334
CPC Jacob Riis Child Care Center,prek,"108 Avenue D, Manhattan NY 10009",10009,40.723492,-73.976164
Henry Street Settlement Day Care,prek,"301 Henry Street, Manhattan NY 10002",10002,40.714054,-73.982797
