Option Name,Contact,Address,Size,Rent,Monthly Fees,One Time Fees,Pet Policy,Distance,Duration,Parking,Gym,Kitchen,Amenities,Features,Living Space,Lease Info,Services,Property Info,Indoor Info,Outdoor Info,Images,Description
[Herald Towers](https://www.apartments.com/herald-towers-new-york-ny/rjlbf92/),844-836-2757,"[50 W 34th St, New York, NY 10001](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/50+W+34th+St,+New+York,+NY+10001/data=!4m2!4m1!3e2)",,"$2,675 - 5,300",,,"Cats Allowed
* 1 Pet Limit",,,,* Fitness Center,"* Dishwasher
* Disposal
* Microwave
* Range
* Refrigerator","* Renovated
* Stainless Appliances
* Walk-In Closet","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Intercom","* Hardwood Floors
* Dining Room
* Vaulted Ceiling
* Views
* Walk-In Closets",12 - 24 Month Leases,"* Package Service
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* 24 Hour Availability
* Dry Cleaning Service
* Laundry Service","* Built in 1911
* 690 Units/25 Stories","* Elevator
* Clubhouse
* Lounge",* Rooftop Lounge,,
[21 WEA](https://www.apartments.com/21-wea-new-york-ny/w5rlg9k/),646-868-3032,"[21 W End Ave, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/21+W+End+Ave,+New+York,+NY+10023/data=!4m2!4m1!3e2)",760 - 900 Sq Ft,"$3,071 - 7,229",,,"Dogs Allowed
Pets Allowed 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Sauna","* Dishwasher
* Microwave","* 24-Hour Concierge
* Ample Closet Space
* bar
* Bar and Cafe
* Bike Room
* Bike Storage
* Bosch Washer/Dryers
* Boxing Studio
* Cafe
* Can Be Furnished
* Canadian White Oak Floors
* Cats and Dogs Allowed
* Central Air
* Central Air Conditioning
* Childrens Playroom
* Children's Playroom
* Club Room
* Cold storage
* community recreational facility
* Concierge
* Demo-kitchen
* Detailed Molding and Designer Finishes
* Dishwasher
* Dog Park
* Dog Run
* Doggy Day Care
* Doorman
* Duplex
* Elevator
* Exposed Brick
* Fitness Center
* Fitness Classes
* Floor to Ceiling Windows
* Game Room
* Golf Simulator
* Guarantors Allowed
* Gym
* Hardwood Floors
* Heat/Hot Water Included
* Hot Tub
* Jacuzzi
* Laundry in Building
* Laundry in Unit
* Library
* Lounge
* Marble Countertops
* Marble Floors and Counter Tops in the Kitchen
* Media Area
* Media Room
* Microwave
* Modern Kitchen
* Multiple Lounges
* New Development
* Oak Floors
* Outdoor Areas
* Outdoorspace
* Outside Grill
* Pets Allowed
* Pied-a-terre Allowed
* Playroom
* POOL
* Private Outdoor Space
* Public Outdoor Space
* Renovated
* restaurant
* Sauna
* Screening Room
* Smoke-Free
* Spa
* Stainless Steel Kitchenaid Appliances
* Swimming Pool
* Valet
* Verizon Fios Enabled
* Walk in Closet
* Walk-In Closet
* Washer/ Dryer in-Unit
* wine cellar
* Wine Tasting Room
* Workshop
* Yoga Room","* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units",* Hardwood Floors,12 - 24 Month Leases,"* Laundry Facilities
* Maintenance on site
* Doorman","* Built in 2016
* 616 Units/43 Stories","* Elevator
* Storage Space",,,
[Avalon Clinton](https://www.apartments.com/avalon-clinton-new-york-ny/w6y2gnj/),844-469-5490,"[515 W 52nd St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/515+W+52nd+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",585 Sq Ft,"$2,750 - 5,933",,,"Dogs Allowed:
Breed restrictions do apply, see office for full list. 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Refrigerator",,"* High Speed Internet Access
* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Smoke Free
* Cable Ready
* Storage Units
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views",12 and 24 month lease terms,"* Package Service
* Laundry Facilities
* Doorman
* Concierge
* On-Site Retail
* Dry Cleaning Service
* Laundry Service","* Built in 2007
* 627 Units/24 Stories","* Elevator
* Clubhouse",* Balcony,,
[Avalon Midtown West](https://www.apartments.com/avalon-midtown-west-new-york-ny/mwctttj/),844-475-5142,"[250 W 50th St, New York, NY 10019](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/250+W+50th+St,+New+York,+NY+10019/data=!4m2!4m1!3e2)",674 Sq Ft,"$3,217 - 6,134",,,"Dogs and Cats Allowed:
Some breeds and pets restricted 
* $600 Fee
* 2 Pet Limit",,,,"* Fitness Center
* Pool
* Gaming Stations","* Dishwasher
* Microwave
* Range
* Refrigerator","* Affordable Housing Program
* Bright Kitchens with Modern Appliance Package
* Coming Soon - Expanded Fitness Center
* Coming Soon - Refreshed Resident Lounge
* Coming Soon - Terrace w/ bbq grills
* Coming Soon - Two new fitness studios
* Complimentary Package Acceptance Service
* Expansive Sundeck with Lounge Chairs
* Internet Lounge with Laptop Tables & WiFi
* Laundry Facility w/Card-based System
* On-site Parking
* Premier Location by Times Square & Restaurant Row!
* Restaurant and Food Emporium Located On-site
* Spacious Closets with Shelving
* Spectacular Manhattan & Hudson River Views!
* Walk to Columbus Circle and Rockefeller Center!","* High Speed Internet Access
* Wi-Fi
* Air Conditioning
* Heating
* Cable Ready
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Tile Floors
* Vaulted Ceiling
* Views
* Walk-In Closets
* Furnished
* Window Coverings",12 or 24 month,"* Package Service
* Laundry Facilities
* On Site Management
* Doorman
* Concierge
* Furnished Units Available
* On-Site Retail
* Laundry Service
* Public Transportation","* Built in 1998
* 550 Units/40 Stories
* Furnished","* Elevator
* Business Center
* Clubhouse
* Lounge
* Breakfast/Coffee Concierge","* Sundeck
* Courtyard
* Grill
* Picnic Area
* Balcony
* Barbecue Area",,
[Silver Towers](https://www.apartments.com/silver-towers-new-york-ny/6vlzv9r/),844-239-2411,"[620 W 42nd St, New York, NY 10036](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/620+W+42nd+St,+New+York,+NY+10036/data=!4m2!4m1!3e2)",642 Sq Ft,"$2,840 - 7,150",,,"Dogs Allowed
Pets Allowed 
* $300 Deposit
* 45 lb Weight Limit
* 2 Pet Limit",,,"Covered
Parking Available","* Fitness Center
* Sauna
* Spa
* Pool
* Playground
* Racquetball Court
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Island Kitchen
* Kitchen Facilities
* Microwave
* Refrigerator","* Balcony
* Concierge Services
* Elevator
* Fitness Center
* Gameroom
* Greystone Flooring
* Heat/Hot Water Included
* High Ceilings
* Home Office
* Loft
* Media/Movie Theatre
* On-Site Retail
* Parking
* Pet Friendly
* Playground
* Private Drive
* Private Outdoor Space
* Renovated
* Rooftop Lounge
* Shuttle Bus
* Sky Collection
* Storage Units
* Swimming Pool
* Washer/Dryer","* Wi-Fi
* Washer/Dryer
* Air Conditioning
* Heating
* Storage Units
* Tub/Shower
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Views
* Walk-In Closets",12 Months,"* On Site Management
* Doorman
* Concierge
* 24 Hour Availability
* Shuttle to Train
* On-Site Retail
* Maid Service
* Online Services","* Built in 2009
* 1276 Units/60 Stories","* Elevator
* Lounge","* Cabana
* Courtyard
* Grill
* Balcony",,
[The Anthem](https://www.apartments.com/the-anthem-new-york-ny/x3120np/),844-393-1027,"[222 E 34th St, New York, NY 10016](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/222+E+34th+St,+New+York,+NY+10016/data=!4m2!4m1!3e2)",,"$3,275 - 5,200",,,"Cats Allowed:
2 Cats 
* 2 Pet Limit",,,"Other
Assigned Parking. Valet Parking","* Fitness Center
* Sauna
* Gaming Stations","* Dishwasher
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Refrigerator","* 10' Ceilings
* Alcove
* Built-In Sound System
* Corner Unit
* No-Fee","* Washer/Dryer
* Air Conditioning
* Heating
* Tub/Shower
* Fireplace
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Vaulted Ceiling
* Views
* Walk-In Closets",,"* Package Service
* Laundry Facilities
* Doorman
* Dry Cleaning Service
* Maid Service
* Meal Service","* Built in 2003
* 480 Units/24 Stories","* Elevator
* Business Center
* Lounge
* Multi Use Room
* Breakfast/Coffee Concierge
* Conference Room",,,
[Dorchester Towers](https://www.apartments.com/dorchester-towers-new-york-ny/yyers8v/),844-847-8879,"[2001-2017 Broadway, New York, NY 10023](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/2001-2017+Broadway,+New+York,+NY+10023/data=!4m2!4m1!3e2)",601 - 671 Sq Ft,"$3,225 - 4,225",,,"Dogs Allowed:
certain breeds Pets Allowed 
* 2 Pet Limit",,,"Garage: $450
Assigned Parking. access to building",* Fitness Center,"* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator","* Bamboo Floors
* Bike Storage
* Black Granite Countertops/Floors in Kitchen
* Business Center
* Dishwasher
* Doorman
* Elevator
* Fitness Center
* Full Marble Bathroom
* Full Marble Bathrooms
* Full Marble Bathroon
* Garage
* Granite Countertops
* Gray Granite Countertops
* Hardwood Floors
* Laundry on Every Floor
* Laundry On Floor
* Marble Bathroom
* Marble Bathrooms
* Microwave
* Package Room
* Plank Flooring
* Private Outdoor Space
* Renovated
* Roof Top Garden
* Rooftop Garden
* Stainless Steel Appliances
* Storage
* Valet On-Site
* White Appliances
* White Kitchen Cabinets
* White Shaker Style Cabinets","* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Storage Units
* Tub/Shower
* Intercom","* Hardwood Floors
* Walk-In Closets
* Linen Closet",12 - 24 Month Leases,"* Package Service
* Laundry Facilities
* Maintenance on site
* On Site Management
* Doorman
* Concierge
* On-Site Retail
* Dry Cleaning Service","* Built in 1965
* 683 Units/35 Stories","* Elevator
* Storage Space
* Disposal Chutes
* Conference Room","* Rooftop Lounge
* Balcony
* Garden",,
[Normandie Court](https://www.apartments.com/normandie-court-new-york-ny/6z0przr/),844-883-2415,"[225 E 95th St, New York, NY 10128](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/225+E+95th+St,+New+York,+NY+10128/data=!4m2!4m1!3e2)",,"$2,871 - 4,535",,,"Dogs and Cats Allowed
Pets Allowed 
* 2 Pet Limit",,,Street,,"* Dishwasher
* Microwave","* Bamboo Floors
* Black Granite Countertops
* Black Granite Countertops/Floors in Kitchen
* Dishwasher
* Doorman
* Elevator
* Full Full Marble Bathroom
* Full Marble Bathroom
* Full Marble Bathrooms
* Garage
* Granite Countertops
* Gray Granite Countertops
* Gray Quartz Countertops
* Gray Quartz Vanity Counter Top
* Grey Quartz Counter Tops
* Hardwood Floors
* Health Club With Pool
* Laundry In Building
* Lounge With Wifi And 2 Sundecks
* Marble Bathroom
* Marble Bathrooms
* Microwave
* Outdoor Areas
* Plank Bamboo Flooring
* Plank Flooring
* Porcelain Tile in Bathroom
* Quartz Countertops
* Renovated
* Stainless Steel Appliance
* Stainless Steel Appliances
* Updated Bathroom Finishes
* Valet On-Site
* White Appliances
* White Kitchen Appliances
* White Kitchen Cabinets
* White Pantry Cabinets
* White Shaker Style Cabinets",,* Hardwood Floors,10 - 13 Month Leases,"* Laundry Facilities
* Doorman","* Built in 1985
* 1477 Units/34 Stories",* Elevator,,,
[Stuyvesant Town](https://www.apartments.com/stuyvesant-town-new-york-ny/gvb2n6w/),646-952-7549,"[409 E 14th St, New York, NY 10009](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/409+E+14th+St,+New+York,+NY+10009/data=!4m2!4m1!3e2)",708 - 771 Sq Ft,"$3,100 - 8,418",,,"Dogs Allowed:
Aggressive breeds are NOT allowed. Aggressive breeds include: Pit Bull, Doberman Pinscher, Rottweiler, German Shepherd, or any breed the Management determines, in its sole discretion, to be aggressive. Any dog that is a mixed breed which includes an aggressive breed is not allowed. There is a weight limit of 50 pounds for each dog, unless there are two dogs. If there are two dogs in the apartment, their combined adult weight may not exceed 50 pounds. This restriction will be strictly enforced. Only two dogs shall be allowed ... 
* 45 lb Weight Limit
* 2 Pet Limit",,,Garage,"* Fitness Center
* Playground
* Bike Storage
* Basketball Court
* Walking/Biking Trails
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Disposal
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Eat-in Kitchen
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator
* Freezer",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Entry Alarm System
* Trash Compactor
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Family Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* On Site Management
* Security System
* Concierge
* Video Patrol
* On-Site Retail
* Trash Pickup - Curbside
* Recycling
* Dry Cleaning Service
* House Sitter Services
* Laundry Service
* Maid Service
* Online Services
* Composting
* Planned Social Activities
* Pet Care","* Built in 1947
* Renovated in Jan 2006
* 11250 Units/14 Stories
* Energy Star Rated","* Elevator
* Business Center
* Storage Space
* Disposal Chutes","* Fenced Lot
* Courtyard
* Picnic Area
* Lawn
* Garden",,
[Peter Cooper Village](https://www.apartments.com/peter-cooper-village-new-york-ny/fmnst8r/),646-868-5584,"[360 1st Ave, New York, NY 10010](https://www.google.com/maps/dir/'350+5th+Ave+New+York,+NY+10118'/360+1st+Ave,+New+York,+NY+10010/data=!4m2!4m1!3e2)",898 - 944 Sq Ft,"$3,135 - 12,000",,,"Dogs Allowed:
Aggressive breeds are NOT allowed. Aggressive breeds include: Pit Bull, Doberman Pinscher, Rottweiler, German Shepherd, or any breed the Management determines, in its sole discretion, to be aggressive. Any dog that is a mixed breed which includes an aggressive breed is not allowed. There is a weight limit of 50 pounds for each dog, unless there are two dogs. If there are two dogs in the apartment, their combined adult weight may not exceed 50 pounds. This restriction will be strictly enforced. Only two dogs shall be allowed ... 
* 45 lb Weight Limit
* 2 Pet Limit",,,Garage,"* Fitness Center
* Playground
* Bike Storage
* Basketball Court
* Walking/Biking Trails
* Gaming Stations
* Media Center/Movie Theatre","* Dishwasher
* Ice Maker
* Granite Countertops
* Stainless Steel Appliances
* Pantry
* Island Kitchen
* Kitchen Facilities
* Microwave
* Oven
* Range
* Refrigerator
* Freezer
* Breakfast Nook
* Instant Hot Water",,"* High Speed Internet Access
* Washer/Dryer
* Air Conditioning
* Heating
* Cable Ready
* Entry Alarm System
* Trash Compactor
* Storage Units
* Tub/Shower
* Handrails
* Intercom
* Wheelchair Accessible (Rooms)","* Hardwood Floors
* Dining Room
* Views
* Walk-In Closets
* Linen Closet
* Window Coverings",12 months,"* Package Service
* Laundry Facilities
* Controlled Access
* Day Care
* Maintenance on site
* On Site Management
* Security System
* Concierge
* Video Patrol
* 24 Hour Availability
* On-Site Retail
* Trash Pickup - Curbside
* Recycling
* Dry Cleaning Service
* House Sitter Services
* Laundry Service
* Maid Service
* Online Services
* Composting
* Planned Social Activities
* Pet Care","* Built in 1947
* Renovated in Jan 2006
* 11250 Units/14 Stories
* Energy Star Rated","* Elevator
* Business Center
* Multi Use Room
* Storage Space
* Disposal Chutes","* Fenced Lot
* Courtyard
* Picnic Area
* Deck
* Lawn",,
